Date,TicketID,Channel,Resolution Time (Days),SLA Met (Yes/No),Category,Region,Agent ID,Customer Satisfaction
25-Aug-24,2d9b7ebe-f597-4037-9540-f41ff9d17652,Calls,1,No,Other,South America,6b2acb96-2abc-4b0e-8b5d-8bc835b0aa8d,5
14-Jan-23,4c73517e-c8f7-4aff-bd0f-1d89a370c779,Calls,6,Yes,Billing Issue,South America,bd28e6a2-6747-4a00-a9bf-4f18628d02bf,3
18-Jan-23,3da672db-9fdd-4e68-8dde-dfa8fff2b725,Calls,7,Yes,Technical Support,South America,41f536ab-4549-4e4b-8cf1-ce0f55b83c55,2
9-Sep-24,411f7e89-376b-43e7-9426-272c7a9a4408,Calls,8,No,Login Problem,South America,f064ff9e-b0b7-42d1-8271-47e18edc4a64,3
11-Jul-24,116012fd-dc1a-4e91-8065-254a988f0598,Calls,7,Yes,Other,South America,bf7f4458-dfae-4807-ad87-f2fdaa6082de,1
1-Jun-24,8e8bab57-e5b9-464c-8339-55e8e3614f4e,Calls,8,Yes,Billing Issue,South America,1438e605-bb30-429b-899d-fe367eb75881,3
15-Feb-24,86deb792-50d1-4293-88be-a41010220a3c,Calls,9,No,Other,South America,0e288d1b-c45e-4c4f-8057-f4df5347e3ac,3
18-Feb-23,b4aec3f8-0641-46f3-bf3a-5958449559fb,Calls,1,No,Login Problem,South America,7216a974-f106-4c0e-82ce-dfe04f1b865d,4
22-Feb-23,e0e534b1-3b78-4bc9-9490-c1377565a404,Calls,7,Yes,Technical Support,South America,44ddb174-eaa2-4a70-bf40-5f97d8ca2625,2
25-Jan-24,1937abc7-3ea7-46e8-94b6-7ae054caeaed,Calls,2,No,Account Question,South America,afc13bab-2d01-42be-8b3b-cd24ba69f729,3
25-May-24,dc98d71a-a687-40c1-a9b1-bee7aa2378bd,Calls,6,Yes,Account Question,South America,a977f4ff-100e-42ea-a459-f3a682db190c,3
16-Jun-24,8dd0029a-b1ab-4ec2-ac5a-8cce036182b0,Calls,6,Yes,Login Problem,South America,50aaf8da-b51e-4c88-86b6-66e684bbb598,2
